"Order";"Level";"Code";"Parent";"Description"
"1456736";"4";"0419";"041";"Other live fish, not for human consumption, including seeds and feeds for aquaculture"
"1456737";"5";"04191";"0419";"Other wild live fish, not for human consumption, including seeds and feeds for aquaculture"
"1456738";"5";"04192";"0419";"Other farmed live fish, not for human consumption, including seeds and feeds for aquaculture"
"1456739";"3";"042";"04";"Fish live, fresh or chilled for human consumption"
"1456740";"4";"0421";"042";"Freshwater fish, live, fresh or chilled"
"1456741";"5";"04211";"0421";"Wild freshwater fish, live, fresh or chilled"
"1456742";"5";"04212";"0421";"Farmed freshwater fish, live, fresh or chilled"
"1456743";"4";"0422";"042";"Salmonidae, live, fresh or chilled"
"1456744";"5";"04221";"0422";"Wild salmonidae, live, fresh or chilled"
"1456745";"5";"04222";"0422";"Farmed salmonidae, live, fresh or chilled"
"1456746";"4";"0423";"042";"Flatfish, live, fresh or chilled"
"1456747";"5";"04231";"0423";"Wild flatfish, live, fresh or chilled"
"1456748";"5";"04232";"0423";"Farmed flatfish, live, fresh or chilled"
"1456749";"4";"0424";"042";"Fish of Gadiformes, live, fresh or chilled"
"1456750";"5";"04241";"0424";"Wild fish of Gadiformes, live, fresh or chilled"
"1456751";"5";"04242";"0424";"Farmed fish of Gadiformes, live, fresh or chilled"
"1456752";"4";"0425";"042";"Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"1456753";"5";"04251";"0425";"Wild tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"1456754";"5";"04252";"0425";"Farmed tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"1456755";"4";"0426";"042";"Other pelagic fish, live, fresh or chilled"
"1456756";"5";"04261";"0426";"Other wild pelagic fish, live, fresh or chilled"
"1456757";"5";"04262";"0426";"Other farmed pelagic fish, live, fresh or chilled"
"1456758";"4";"0429";"042";"Other fish, live, fresh or chilled"
"1456759";"5";"04291";"0429";"Other wild fish, live, fresh or chilled"
"1456760";"5";"04292";"0429";"Other farmed fish, live, fresh or chilled"
"1456761";"3";"043";"04";"Crustaceans, live, fresh or chilled"
"1456762";"4";"0431";"043";"Crabs, live, fresh or chilled"
"1456763";"5";"04311";"0431";"Wild crabs, live, fresh or chilled"
"1456764";"5";"04312";"0431";"Farmed crabs, live, fresh or chilled"
"1456765";"4";"0432";"043";"Rock lobster and other sea crawfish, live, fresh or chilled"
"1456766";"5";"04321";"0432";"Wild rock lobster and other sea crawfish, live, fresh or chilled"
"1456767";"5";"04322";"0432";"Farmed rock lobster and other sea crawfish, live, fresh or chilled"
"1456768";"4";"0433";"043";"Lobsters (""Homarus spp.""), live, fresh or chilled"
"1456769";"5";"04331";"0433";"Wild lobsters (""Homarus spp.""), live, fresh or chilled"
"1456770";"5";"04332";"0433";"Farmed lobsters (""Homarus spp.""), live, fresh or chilled"
"1456771";"4";"0434";"043";"Norway lobsters, live, fresh or chilled"
"1456772";"5";"04341";"0434";"Wild Norway lobsters, live, fresh or chilled"
"1456773";"5";"04342";"0434";"Farmed Norway lobsters, live, fresh or chilled"
"1456774";"4";"0435";"043";"Cold-water shrimps and prawns (""Pandalus spp."", ""Crangon crangon""), live, fresh or chilled"
"1456775";"5";"04351";"0435";"Wild cold-water shrimps and prawns (""Pandalus spp."", ""Crangon crangon""), live, fresh or chilled"
"1456776";"5";"04352";"0435";"Farmed cold-water shrimps and prawns (""Pandalus spp."", ""Crangon crangon""), live, fresh or chilled"
"1456777";"4";"0436";"043";"Other shrimps and prawns, live, fresh or chilled"
"1456778";"5";"04361";"0436";"Other wild shrimps and prawns, live, fresh or chilled"
"1456779";"5";"04362";"0436";"Other farmed shrimps and prawns, live, fresh or chilled"
"1456780";"4";"0439";"043";"Other crustaceans, live, fresh or chilled"
"1456781";"5";"04391";"0439";"Other wild crustaceans, live, fresh or chilled"
