"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1209028";"6";"01.47.23";"01.47.2";"Hen eggs for hatching";;;;
"1209029";"6";"01.47.24";"01.47.2";"Eggs from other poultry, for hatching";;;;
"1209030";"4";"01.49";"01.4";"Other farmed animals and animal products";;;;
"1209031";"5";"01.49.1";"01.49";"Other farmed animals, live";;;;
"1209032";"6";"01.49.11";"01.49.1";"Domestic rabbits, live";;;;
"1209033";"6";"01.49.12";"01.49.1";"Farmed birds n.e.c., live";;;;
"1209034";"6";"01.49.13";"01.49.1";"Farmed reptiles (including snakes and turtles), live";;;;
"1209035";"6";"01.49.19";"01.49.1";"Other farmed animals n.e.c., live";;;;
"1209036";"5";"01.49.2";"01.49";"Other farm animal products";;;;
"1209037";"6";"01.49.21";"01.49.2";"Natural honey";;;;
"1209038";"6";"01.49.22";"01.49.2";"Raw milk n.e.c.";;;;
"1209039";"6";"01.49.23";"01.49.2";"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails";;;;
"1209040";"6";"01.49.24";"01.49.2";"Edible products of farm animal origin n.e.c.";;;;
"1209041";"6";"01.49.25";"01.49.2";"Silk-worm cocoons suitable for reeling";;;;
"1209042";"6";"01.49.26";"01.49.2";"Insect waxes and spermaceti, whether or not refined or coloured";;;;
"1209043";"6";"01.49.27";"01.49.2";"Animal embryos for reproduction";;;;
"1209044";"6";"01.49.28";"01.49.2";"Non-edible products of farm animal origin n.e.c.";;;;
"1209045";"5";"01.49.3";"01.49";"Raw fur skins and miscellaneous raw hides and skins";;;;
"1209046";"6";"01.49.31";"01.49.3";"Raw fur skins, except of fur-bearing lambs";;;;
"1209047";"6";"01.49.32";"01.49.3";"Raw fur skins of fur-bearing lambs";;;;
"1209048";"6";"01.49.39";"01.49.3";"Raw skins of animals n.e.c. (fresh or preserved, but not further prepared)";;;;
"1209049";"3";"01.6";"01";"Agricultural and animal husbandry services (except veterinary services)";;;;
"1209050";"4";"01.61";"01.6";"Support services to crop production";;;;
"1209051";"5";"01.61.1";"01.61";"Support services to crop production";;;;
"1209052";"6";"01.61.10";"01.61.1";"Support services to crop production";;;;
"1209053";"4";"01.62";"01.6";"Support services to animal production";;;;
"1209054";"5";"01.62.1";"01.62";"Support services to animal production";;;;
"1209055";"6";"01.62.10";"01.62.1";"Support services to animal production";;;;
"1209056";"4";"01.63";"01.6";"Post-harvest crop services";;;;
"1209057";"5";"01.63.1";"01.63";"Post-harvest crop services";;;;
"1209058";"6";"01.63.10";"01.63.1";"Post-harvest crop services";;;;
"1209059";"4";"01.64";"01.6";"Seed processing services for propagation";;;;
"1209060";"5";"01.64.1";"01.64";"Seed processing services for propagation";;;;
"1209061";"6";"01.64.10";"01.64.1";"Seed processing services for propagation";;;;
"1209062";"3";"01.7";"01";"Hunting and trapping and related services";;;;
"1209063";"4";"01.70";"01.7";"Hunting and trapping and related services";;;;
"1209064";"5";"01.70.1";"01.70";"Hunting and trapping and related services";;;;
"1209065";"6";"01.70.10";"01.70.1";"Hunting and trapping and related services";;;;
"1209066";"2";"02";"A";"Products of forestry, logging and related services";;;;
"1209067";"3";"02.1";"02";"Forest trees and nursery services";;;;
"1209068";"4";"02.10";"02.1";"Forest trees and nursery services";;;;
"1209069";"5";"02.10.1";"02.10";"Live forest tree plants; forest tree seeds";;;;
"1209070";"6";"02.10.11";"02.10.1";"Live forest tree plants";;;;
"1209071";"6";"02.10.12";"02.10.1";"Forest tree seeds";;;;
"1209072";"5";"02.10.2";"02.10";"Forest trees nurseries services";;;;
"1209073";"6";"02.10.20";"02.10.2";"Forest trees nurseries services";;;;
"1209074";"5";"02.10.3";"02.10";"Forest trees";;;;
"1209075";"6";"02.10.30";"02.10.3";"Forest trees";;;;
"1209076";"3";"02.2";"02";"Wood in the rough";;;;
"1209077";"4";"02.20";"02.2";"Wood in the rough";;;;
"1209078";"5";"02.20.1";"02.20";"Wood in the rough";;;;
