"Order";"Level";"Code";"Parent";"Description"
"681931";"4";"1740";"174";"Ice and snow"
"681932";"5";"17400";"1740";"Ice and snow"
"681933";"2";"18";"1";"Natural water"
"681934";"3";"180";"18";"Natural water"
"681935";"4";"1800";"180";"Natural water"
"681936";"5";"18000";"1800";"Natural water"
"681937";"1";"2";;"Food products, beverages and tobacco; textiles, apparel and leather products"
"681938";"2";"21";"2";"Meat, fish, fruit, vegetables, oils and fats"
"681939";"3";"211";"21";"Meat and meat products"
"681940";"4";"2111";"211";"Meat of mammals, fresh or chilled"
"681941";"5";"21111";"2111";"Meat of cattle, fresh or chilled"
"681942";"5";"21112";"2111";"Meat of buffalo, fresh or chilled"
"681943";"5";"21113";"2111";"Meat of pigs, fresh or chilled"
"681944";"5";"21114";"2111";"Meat of rabbits and hares, fresh or chilled"
"681945";"5";"21115";"2111";"Meat of sheep, fresh or chilled"
"681946";"5";"21116";"2111";"Meat of goat, fresh or chilled"
"681947";"5";"21117";"2111";"Meat of camels and camelids, fresh or chilled"
"681948";"5";"21118";"2111";"Meat of horses and other equines, fresh or chilled"
"681949";"5";"21119";"2111";"Other meat of mammals, fresh or chilled"
"681950";"4";"2112";"211";"Meat of poultry, fresh or chilled"
"681951";"5";"21121";"2112";"Meat of chickens, fresh or chilled"
"681952";"5";"21122";"2112";"Meat of ducks, fresh or chilled"
"681953";"5";"21123";"2112";"Meat of geese, fresh or chilled"
"681954";"5";"21124";"2112";"Meat of turkeys, fresh or chilled"
"681955";"5";"21125";"2112";"Meat of guinea fowl, fresh or chilled"
"681956";"4";"2113";"211";"Meat of mammals, frozen"
"681957";"5";"21131";"2113";"Meat of cattle, frozen"
"681958";"5";"21132";"2113";"Meat of buffalo, frozen"
"681959";"5";"21133";"2113";"Meat of pigs, frozen"
"681960";"5";"21134";"2113";"Meat of rabbits and hares, frozen"
"681961";"5";"21135";"2113";"Meat of sheep, frozen"
"681962";"5";"21136";"2113";"Meat of goat, frozen"
"681963";"5";"21137";"2113";"Meat of camels and camelids, frozen"
"681964";"5";"21138";"2113";"Meat of horses and other equines, frozen"
