"Order";"Level";"Code";"Parent";"Description"
"397393";"3";"341";"34";"Manufacture of motor vehicles"
"397394";"4";"3410";"341";"Manufacture of motor vehicles"
"397395";"3";"342";"34";"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"397396";"4";"3420";"342";"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"397397";"3";"343";"34";"Manufacture of parts and accessories for motor vehicles and their engines"
"397398";"4";"3430";"343";"Manufacture of parts and accessories for motor vehicles and their engines"
"397399";"2";"35";"D";"Manufacture of other transport equipment"
"397400";"3";"351";"35";"Building and repairing of ships and boats"
"397401";"4";"3511";"351";"Building and repairing of ships"
"397402";"4";"3512";"351";"Building and repairing of pleasure and sporting boats"
"397403";"3";"352";"35";"Manufacture of railway and tramway locomotives and rolling stock"
"397404";"4";"3520";"352";"Manufacture of railway and tramway locomotives and rolling stock"
"397405";"3";"353";"35";"Manufacture of aircraft and spacecraft"
"397406";"4";"3530";"353";"Manufacture of aircraft and spacecraft"
"397407";"3";"359";"35";"Manufacture of transport equipment n.e.c."
"397408";"4";"3591";"359";"Manufacture of motorcycles"
"397409";"4";"3592";"359";"Manufacture of bicycles and invalid carriages"
"397410";"4";"3599";"359";"Manufacture of other transport equipment n.e.c."
"397411";"2";"36";"D";"Manufacture of furniture; manufacturing n.e.c."
"397412";"3";"361";"36";"Manufacture of furniture"
"397413";"4";"3610";"361";"Manufacture of furniture"
"397414";"3";"369";"36";"Manufacturing n.e.c."
"397415";"4";"3691";"369";"Manufacture of jewellery and related articles"
"397416";"4";"3692";"369";"Manufacture of musical instruments"
"397417";"4";"3693";"369";"Manufacture of sports goods"
"397418";"4";"3694";"369";"Manufacture of games and toys"
"397419";"4";"3699";"369";"Other manufacturing n.e.c."
"397420";"2";"37";"D";"Recycling"
"397421";"3";"371";"37";"Recycling of metal waste and scrap"
"397422";"4";"3710";"371";"Recycling of metal waste and scrap"
"397423";"3";"372";"37";"Recycling of non-metal waste and scrap"
"397424";"4";"3720";"372";"Recycling of non-metal waste and scrap"
"397425";"1";"E";;"Electricity, gas and water supply"
"397426";"2";"40";"E";"Electricity, gas, steam and hot water supply"
"397427";"3";"401";"40";"Production, collection and distribution of electricity"
"397428";"4";"4010";"401";"Production, collection and distribution of electricity"
"397429";"3";"402";"40";"Manufacture of gas; distribution of gaseous fuels through mains"
"397430";"4";"4020";"402";"Manufacture of gas; distribution of gaseous fuels through mains"
"397431";"3";"403";"40";"Steam and hot water supply"
"397432";"4";"4030";"403";"Steam and hot water supply"
"397433";"2";"41";"E";"Collection, purification and distribution of water"
"397434";"3";"410";"41";"Collection, purification and distribution of water"
"397435";"4";"4100";"410";"Collection, purification and distribution of water"
"397436";"1";"F";;"Construction"
"397437";"2";"45";"F";"Construction"
"397438";"3";"451";"45";"Site preparation"
"397439";"4";"4510";"451";"Site preparation"
"397440";"3";"452";"45";"Building of complete constructions or parts thereof; civil engineering"
"397441";"4";"4520";"452";"Building of complete constructions or parts thereof; civil engineering"
"397442";"3";"453";"45";"Building installation"
"397443";"4";"4530";"453";"Building installation"
"397444";"3";"454";"45";"Building completion"
"397445";"4";"4540";"454";"Building completion"
"397446";"3";"455";"45";"Renting of construction or demolition equipment with operator"
"397447";"4";"4550";"455";"Renting of construction or demolition equipment with operator"
"397448";"1";"G";;"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods"
"397449";"2";"50";"G";"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel"
"397450";"3";"501";"50";"Sale of motor vehicles"
"397451";"4";"5010";"501";"Sale of motor vehicles"
"397452";"3";"502";"50";"Maintenance and repair of motor vehicles"
"397453";"4";"5020";"502";"Maintenance and repair of motor vehicles"
"397454";"3";"503";"50";"Sale of motor vehicle parts and accessories"
"397455";"4";"5030";"503";"Sale of motor vehicle parts and accessories"
"397456";"3";"504";"50";"Sale, maintenance and repair of motorcycles and related parts and accessories"
"397457";"4";"5040";"504";"Sale, maintenance and repair of motorcycles and related parts and accessories"
"397458";"3";"505";"50";"Retail sale of automotive fuel"
"397459";"4";"5050";"505";"Retail sale of automotive fuel"
"397460";"2";"51";"G";"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
"397461";"3";"511";"51";"Wholesale on a fee or contract basis"
"397462";"4";"5110";"511";"Wholesale on a fee or contract basis"
"397463";"3";"512";"51";"Wholesale of agricultural raw materials, live animals, food, beverages and tobacco"
"397464";"4";"5121";"512";"Wholesale of agricultural raw materials and live animals"
"397465";"4";"5122";"512";"Wholesale of food, beverages and tobacco"
"397466";"3";"513";"51";"Wholesale of household goods"
"397467";"4";"5131";"513";"Wholesale of textiles, clothing  and footwear"
"397468";"4";"5139";"513";"Wholesale of other household goods"
"397469";"3";"514";"51";"Wholesale of non-agricultural intermediate products, waste and scrap"
